TrackName	ArtistName	Genre
Takeaway	The Chainsmokers	edm
You Need To Calm Down	Taylor Swift	dance pop
One Thing Right	Marshmello	brostep
Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	dfw rap
No Me Conoce - Remix	Jhay Cortez	reggaeton flow
Soltera - Remix	Lunay	latin
Beautiful People (feat. Khalid)	Ed Sheeran	pop
No Guidance (feat. Drake)	Chris Brown	dance pop
QUE PRETENDES	J Balvin	latin
Con Calma	Daddy Yankee	latin
"i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”"	Lauv	dance pop
Cross Me (feat. Chance the Rapper & PnB Rock)	Ed Sheeran	pop
Loco Contigo (feat. J. Balvin & Tyga)	DJ Snake	dance pop
It's You	Ali Gatie	canadian hip hop
0.958333333	Maluma	reggaeton
Shallow	Lady Gaga	dance pop
Dance Monkey	Tones and I	australian pop
The London (feat. J. Cole & Travis Scott)	Young Thug	atl hip hop
Con Altura	ROSALIA	r&b en espanol
Never Really Over	Katy Perry	dance pop
Happier	Marshmello	brostep
Money In The Grave (Drake ft. Rick Ross)	Drake	canadian hip hop
I Don't Care (with Justin Bieber)	Ed Sheeran	pop
Higher Love	Kygo	edm
Call You Mine	The Chainsmokers	edm
China	Anuel AA	reggaeton flow
Someone You Loved	Lewis Capaldi	pop
How Do You Sleep?	Sam Smith	pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)	Martin Garrix	big room
Senorita	Shawn Mendes	canadian pop
Piece Of Your Heart	MEDUZA	pop house
If I Can't Have You	Shawn Mendes	canadian pop
Lalala	Y2K	canadian hip hop
bad guy	Billie Eilish	electropop
bad guy (with Justin Bieber)	Billie Eilish	electropop
Old Town Road - Remix	Lil Nas X	country rap
Talk	Khalid	pop
Sucker	Jonas Brothers	boy band
7 rings	Ariana Grande	dance pop
Goodbyes (Feat. Young Thug)	Post Malone	dfw rap
Antisocial (with Travis Scott)	Ed Sheeran	pop
Panini	Lil Nas X	country rap
Truth Hurts	Lizzo	escape room
Callaita	Bad Bunny	reggaeton
Otro Trago - Remix	Sech	panamanian pop
LA CANCION	J Balvin	latin
Otro Trago	Sech	panamanian pop
Te Robare	Nicky Jam	latin
Ransom	Lil Tecca	trap music
boyfriend (with Social House)	Ariana Grande	dance pop
